"movies","genre","rating","stars","votes","runtime","gross"
"Le Petit Prince","
Animation, Adventure, Drama            ",7.7,"
    Director:
Mark Osborne
| 
    Stars:
Jeff Bridges, 
Mackenzie Foy, 
Rachel McAdams, 
Marion Cotillard
",58668,108,1.34
"Tangerine","
Comedy, Crime, Drama            ",7.1,"
    Director:
Sean Baker
| 
    Stars:
Kitana Kiki Rodriguez, 
Mya Taylor, 
Karren Karagulian, 
Mickey O'Hagan
",28651,88,0.7
"A Man Apart","
Action, Crime, Drama            ",6.1,"
    Director:
F. Gary Gray
| 
    Stars:
Vin Diesel, 
Timothy Olyphant, 
Larenz Tate, 
Geno Silva
",46040,109,26.18
"Romeo & Juliet","
Drama, Romance            ",5.8,"
    Director:
Carlo Carlei
| 
    Stars:
Hailee Steinfeld, 
Douglas Booth, 
Damian Lewis, 
Laura Morante
",11411,118,1.16
"Mongol","
Action, Biography, Drama            ",7.2,"
    Director:
Sergei Bodrov
| 
    Stars:
Tadanobu Asano, 
Amadu Mamadakov, 
Khulan Chuluun, 
Honglei Sun
",45408,126,5.7
"The Gunman","
Action, Crime, Thriller            ",5.8,"
    Director:
Pierre Morel
| 
    Stars:
Sean Penn, 
Idris Elba, 
Jasmine Trinca, 
Javier Bardem
",39993,115,10.64
"Yip Man 3","
Action, Biography, Drama            ",7.1,"
    Director:
Wilson Yip
| 
    Stars:
Donnie Yen, 
Lynn Xiong, 
Jin Zhang, 
Mike Tyson
",51648,105,2.68
"Mugen no jûnin","
Action, Drama, Fantasy            ",6.8,"
    Director:
Takashi Miike
| 
    Stars:
Takuya Kimura, 
Hana Sugisaki, 
Sôta Fukushi, 
Hayato Ichihara
",16248,140,0.15
"Kal Hee","
Animation, Drama, Romance            ",7.6,"
    Director:
Isao Takahata
| 
    Stars:
Miki Imai, 
Toshirô Yanagiba, 
Yoko Honna, 
Mayumi Izuka
",28969,118,0.45
"Kahaani","
Mystery, Thriller            ",8.1,"
    Director:
Sujoy Ghosh
| 
    Stars:
Vidya Balan, 
Parambrata Chattopadhyay, 
Indraneil Sengupta, 
Nawazuddin Siddiqui
",59675,122,1.04
"Arbitrage","
Drama, Thriller            ",6.6,"
    Director:
Nicholas Jarecki
| 
    Stars:
Richard Gere, 
Susan Sarandon, 
Brit Marling, 
Tim Roth
",51051,107,7.92
"Premium Rush","
Action, Crime, Thriller            ",6.5,"
    Director:
David Koepp
| 
    Stars:
Joseph Gordon-Levitt, 
Michael Shannon, 
Dania Ramirez, 
Sean Kennedy
",111533,91,20.28
"Gedo senki","
Animation, Adventure, Fantasy            ",6.4,"
    Director:
Gorô Miyazaki
| 
    Stars:
Timothy Dalton, 
Willem Dafoe, 
Mariska Hargitay, 
Jun'ichi Okada
",37082,115,0.05
"The Painted Veil","
Drama, Romance            ",7.5,"
    Director:
John Curran
| 
    Stars:
Naomi Watts, 
Edward Norton, 
Liev Schreiber, 
Catherine An
",90212,125,8.06
"Beirut","
Action, Crime, Drama            ",6.5,"
    Director:
Brad Anderson
| 
    Stars:
Jon Hamm, 
Jay Potter, 
Khalid Benchagra, 
Ania Josse
",20085,110,5.02
"An Interview with God","
Drama, Mystery            ",5.8,"
    Director:
Perry Lang
| 
    Stars:
David Strathairn, 
Brenton Thwaites, 
Yael Grobglas, 
Charlbi Dean
",3470,97,1.25
"Into the Forest","
Drama, Thriller            ",5.8,"
    Director:
Patricia Rozema
| 
    Stars:
Elliot Page, 
Evan Rachel Wood, 
Max Minghella, 
Callum Keith Rennie
",19853,101,0.01
"Smurfs: The Lost Village","
Animation, Adventure, Comedy            ",6,"
    Director:
Kelly Asbury
| 
    Stars:
Demi Lovato, 
Rainn Wilson, 
Joe Manganiello, 
Jack McBrayer
",19549,90,45.02
"Kon-Tiki","
Adventure, Biography, Drama            ",7.2,"
    Directors:
Joachim Rønning, 
Espen Sandberg
| 
    Stars:
Pål Sverre Hagen, 
Anders Baasmo Christiansen, 
Gustaf Skarsgård, 
Odd-Magnus Williamson
",47166,118,1.52
"Under the Shadow","
Drama, Fantasy, Horror            ",6.9,"
    Director:
Babak Anvari
| 
    Stars:
Narges Rashidi, 
Avin Manshadi, 
Bobby Naderi, 
Arash Marandi
",25632,84,0.03
"A Man for All Seasons","
Biography, Drama, History            ",7.7,"
    Director:
Fred Zinnemann
| 
    Stars:
Paul Scofield, 
Wendy Hiller, 
Robert Shaw, 
Leo McKern
",32729,120,28.35
"Million Dollar Arm","
Biography, Drama, Sport            ",7,"
    Director:
Craig Gillespie
| 
    Stars:
Jon Hamm, 
Aasif Mandvi, 
Alan Arkin, 
Suraj Sharma
",44546,124,36.45
"The Dawn Wall","
Documentary, Biography, Sport            ",8.1,"
    Directors:
Josh Lowell, 
Peter Mortimer
| 
    Stars:
John Branch, 
Tommy Caldwell, 
Kevin Jorgeson
",16824,100,1.08
"Big Game","
Action, Adventure            ",5.4,"
    Director:
Jalmari Helander
| 
    Stars:
Samuel L. Jackson, 
Onni Tommila, 
Ray Stevenson, 
Victor Garber
",31914,90,0.02
"The Bookshop","
Drama            ",6.5,"
    Director:
Isabel Coixet
| 
    Stars:
Emily Mortimer, 
Bill Nighy, 
Hunter Tremayne, 
Honor Kneafsey
",13939,113,1.33
"D-Tox","
Crime, Thriller            ",5.3,"
    Director:
Jim Gillespie
| 
    Stars:
Sylvester Stallone, 
Charles S. Dutton, 
Polly Walker, 
Kris Kristofferson
",25639,96,0.08
"A United Kingdom","
Biography, Drama, History            ",6.9,"
    Director:
Amma Asante
| 
    Stars:
David Oyelowo, 
Rosamund Pike, 
Tom Felton, 
Jack Davenport
",15365,111,3.9
"Naissance des pieuvres","
Drama, Romance            ",6.7,"
    Director:
Céline Sciamma
| 
    Stars:
Pauline Acquart, 
Louise Blachère, 
Adèle Haenel, 
Warren Jacquin
",10813,85,0.08
"Jue di tao wang","
Action, Adventure, Comedy            ",5.7,"
    Director:
Renny Harlin
| 
    Stars:
Jackie Chan, 
Johnny Knoxville, 
Bingbing Fan, 
Eric Tsang
",19872,107,0
"The Hurricane Heist","
Action, Adventure, Crime            ",5.1,"
    Director:
Rob Cohen
| 
    Stars:
Toby Kebbell, 
Maggie Grace, 
Ryan Kwanten, 
Ralph Ineson
",19776,103,6.12
"The Night Before","
Comedy, Fantasy            ",6.4,"
    Director:
Jonathan Levine
| 
    Stars:
Joseph Gordon-Levitt, 
Seth Rogen, 
Jillian Bell, 
Lizzy Caplan
",68503,101,43.04
"Laggies","
Comedy, Drama, Romance            ",6.4,"
    Director:
Lynn Shelton
| 
    Stars:
Keira Knightley, 
Chloë Grace Moretz, 
Sam Rockwell, 
Mark Webber
",42740,99,0.44
"Mark Felt: The Man Who Brought Down the White House","
Biography, Drama, History            ",6.4,"
    Director:
Peter Landesman
| 
    Stars:
Liam Neeson, 
Diane Lane, 
Marton Csokas, 
Tony Goldwyn
",12491,103,0.77
"Forces spéciales","
Action, Drama, War            ",6.4,"
    Director:
Stéphane Rybojad
| 
    Stars:
Diane Kruger, 
Djimon Hounsou, 
Benoît Magimel, 
Denis Ménochet
",18275,109,0.01
"Death Warrant","
Action, Crime, Mystery            ",5.7,"
    Director:
Deran Sarafian
| 
    Stars:
Jean-Claude Van Damme, 
Robert Guillaume, 
Cynthia Gibb, 
George Dickerson
",17926,89,16.85
"Beyond a Reasonable Doubt","
Crime, Drama, Mystery            ",5.9,"
    Director:
Peter Hyams
| 
    Stars:
Jesse Metcalfe, 
Amber Tamblyn, 
Michael Douglas, 
Joel David Moore
",12570,106,0.03
"The Warrior's Way","
Action, Fantasy, Western            ",6.3,"
    Director:
Sngmoo Lee
| 
    Stars:
Jang Dong-Gun, 
Kate Bosworth, 
Geoffrey Rush, 
Danny Huston
",25758,100,5.66
"King Cobra","
Crime, Drama            ",5.6,"
    Director:
Justin Kelly
| 
    Stars:
Garrett Clayton, 
Christian Slater, 
Molly Ringwald, 
James Kelley
",8572,91,0.03
"Mirai no Mirai","
Animation, Adventure, Drama            ",7,"
    Director:
Mamoru Hosoda
| 
    Stars:
Rebecca Hall, 
Daniel Dae Kim, 
John Cho, 
Crispin Freeman
",13651,98,0.81
"Skjelvet","
Action, Drama, Thriller            ",6.2,"
    Director:
John Andreas Andersen
| 
    Stars:
Kristoffer Joner, 
Ane Dahl Torp, 
Edith Haagenrud-Sande, 
Kathrine Thorborg Johansen
",10622,106,0.01
"Drinking Buddies","
Comedy, Drama, Romance            ",6.1,"
    Director:
Joe Swanberg
| 
    Stars:
Olivia Wilde, 
Jake Johnson, 
Anna Kendrick, 
Ron Livingston
",56754,90,0.34
"Ala Vaikunthapurramuloo","
Action, Comedy, Drama            ",7.3,"
    Director:
Trivikram Srinivas
| 
    Stars:
Allu Arjun, 
Pooja Hegde, 
Tabu, 
Jayaram
",10091,163,4.7
"Blue Jay","
Drama, Romance            ",7.3,"
    Director:
Alex Lehmann
| 
    Stars:
Mark Duplass, 
Sarah Paulson, 
Clu Gulager, 
James Andrews
",15777,80,0.01
"Jui kuen II","
Action, Comedy            ",7.6,"
    Directors:
Chia-Liang Liu, 
Jackie Chan
| 
    Stars:
Jackie Chan, 
Ho-Sung Pak, 
Lung Ti, 
Anita Mui
",44060,102,11.55
"The Last Legion","
Action, Adventure, War            ",5.4,"
    Director:
Doug Lefler
| 
    Stars:
Colin Firth, 
Ben Kingsley, 
Aishwarya Rai Bachchan, 
Peter Mullan
",34726,101,5.93
"Thumbelina","
Animation, Family, Fantasy            ",6.4,"
    Directors:
Don Bluth, 
Gary Goldman
| 
    Stars:
Jodi Benson, 
Gary Imhoff, 
Gino Conforti, 
Barbara Cook
",16055,86,11.37
"Other People","
Comedy, Drama            ",6.8,"
    Director:
Chris Kelly
| 
    Stars:
Jesse Plemons, 
Molly Shannon, 
Bradley Whitford, 
Maude Apatow
",10487,97,0.09
"Celeste & Jesse Forever","
Comedy, Drama, Romance            ",6.6,"
    Director:
Lee Toland Krieger
| 
    Stars:
Rashida Jones, 
Andy Samberg, 
Elijah Wood, 
Emma Roberts
",30382,92,3.09
"Racing Stripes","
Adventure, Comedy, Drama            ",5.2,"
    Director:
Frederik Du Chau
| 
    Stars:
Frankie Muniz, 
David Spade, 
Snoop Dogg, 
Bruce Greenwood
",16506,102,49.77
"Middle School: The Worst Years of My Life","
Animation, Comedy, Family            ",6.1,"
    Director:
Steve Carr
| 
    Stars:
Griffin Gluck, 
Lauren Graham, 
Alexa Nisenson, 
Andrew Daly
",8256,92,19.99
"People Like Us","
Comedy, Drama            ",7.1,"
    Director:
Alex Kurtzman
| 
    Stars:
Chris Pine, 
Elizabeth Banks, 
Michelle Pfeiffer, 
Olivia Wilde
",42162,114,12.41
"Dilwale","
Action, Comedy, Drama            ",5.1,"
    Director:
Rohit Shetty
| 
    Stars:
Shah Rukh Khan, 
Kajol, 
Varun Dhawan, 
Kriti Sanon
",32707,158,4.83
"The ABCs of Death","
Comedy, Horror            ",4.7,"
    Directors:
Kaare Andrews, 
Angela Bettis, 
Hélène Cattet, 
Ernesto Díaz Espinoza, 
Jason Eisener, 
Bruno Forzani, 
Adrian Garcia Bogliano, 
Xavier Gens, 
Jorge Michel Grau, 
Lee Hardcastle, 
Noboru Iguchi, 
Thomas Cappelen Malling, 
Anders Morgenthaler, 
Yoshihiro Nishimura, 
Banjong Pisanthanakun, 
Simon Rumley, 
Marcel Sarmiento, 
Jon Schnepp, 
Srdjan Spasojevic, 
Timo Tjahjanto, 
Andrew Traucki, 
Nacho Vigalondo, 
Jake West, 
Ti West, 
Ben Wheatley, 
Adam Wingard, 
Yudai Yamaguchi
| 
    Stars:
Ingrid Bolsø Berdal, 
Iván González, 
Kyra Zagorsky, 
Lucy Clements
",18559,129,0.02
"The Breadwinner","
Animation, Drama, Family            ",7.7,"
    Director:
Nora Twomey
| 
    Stars:
Saara Chaudry, 
Soma Chhaya, 
Noorin Gulamgaus, 
Laara Sadiq
",22504,94,0.31
"Acrimony","
Thriller            ",5.8,"
    Director:
Tyler Perry
| 
    Stars:
Taraji P. Henson, 
Lyriq Bent, 
Crystle Stewart, 
Jazmyn Simon
",8263,120,43.55
"LBJ","
Biography, Drama, History            ",6.5,"
    Director:
Rob Reiner
| 
    Stars:
Woody Harrelson, 
Michael Stahl-David, 
Richard Jenkins, 
Jennifer Jason Leigh
",6303,98,2.47
"The Bag Man","
Action, Crime, Drama            ",5.2,"
    Director:
David Grovic
| 
    Stars:
John Cusack, 
Rebecca Da Costa, 
Robert De Niro, 
Crispin Glover
",16620,108,0.05
"Viceroy's House","
Biography, Drama, History            ",6.7,"
    Director:
Gurinder Chadha
| 
    Stars:
Hugh Bonneville, 
Gillian Anderson, 
Manish Dayal, 
Huma Qureshi
",7296,106,1.11
"Joshua","
Drama, Horror, Thriller            ",5.9,"
    Director:
George Ratliff
| 
    Stars:
Sam Rockwell, 
Vera Farmiga, 
Jacob Kogan, 
Celia Weston
",12266,106,0.48
"The Perfect Host","
Comedy, Crime, Thriller            ",6.8,"
    Director:
Nick Tomnay
| 
    Stars:
David Hyde Pierce, 
Clayne Crawford, 
Nathaniel Parker, 
Tyrees Allen
",26028,93,0.05
"Te3n","
Drama, Mystery, Thriller            ",7.3,"
    Director:
Ribhu Dasgupta
| 
    Stars:
Amitabh Bachchan, 
Nawazuddin Siddiqui, 
Vidya Balan, 
Mukesh Chhabra
",12303,136,0.26
"Coco avant Chanel","
Biography, Drama            ",6.7,"
    Director:
Anne Fontaine
| 
    Stars:
Audrey Tautou, 
Benoît Poelvoorde, 
Alessandro Nivola, 
Marie Gillain
",39401,105,6.11
"Wildflower","
Drama, Thriller            ",5.3,"
    Director:
Nicholas DiBella
| 
    Stars:
Nathalia Ramos, 
Cody Longo, 
Alexa Rose Steele, 
Benjamin Ashbrook
",866,92,0.01
"Pariah","
Drama            ",7.2,"
    Director:
Dee Rees
| 
    Stars:
Adepero Oduye, 
Kim Wayans, 
Aasha Davis, 
Pernell Walker
",6525,86,0.76
"Boy Meets Girl","
Comedy, Drama, Romance            ",7.1,"
    Director:
Eric Schaeffer
| 
    Stars:
Michael Welch, 
Michelle Hendley, 
Alexandra Turshen, 
Michael Galante
",4391,95,0.02
"Operation Avalanche","
Drama, Mystery, Thriller            ",6.1,"
    Director:
Matt Johnson
| 
    Stars:
Matt Johnson, 
Owen Williams, 
Andrew Appelle, 
Jared Raab
",6983,94,0.06
"Dealin' with Idiots","
Comedy            ",5.4,"
    Director:
Jeff Garlin
| 
    Stars:
Jeff Garlin, 
Steve Agee, 
Gina Gershon, 
Jami Gertz
",1306,88,0.02
"Contracted","
Drama, Horror, Thriller            ",5.3,"
    Director:
Eric England
| 
    Stars:
Najarra Townsend, 
Caroline Williams, 
Alice Macdonald, 
Matt Mercer
",14668,84,0
"XX","
Horror            ",4.6,"
    Directors:
Roxanne Benjamin, 
Sofìa Carrillo, 
Karyn Kusama, 
St. Vincent, 
Jovanka Vuckovic
| 
    Stars:
Natalie Brown, 
Jonathan Watton, 
Peter DaCunha, 
Peyton Kennedy
",11394,80,0.03
"V/H/S Viral","
Horror, Thriller            ",4.2,"
    Directors:
Justin Benson, 
Gregg Bishop, 
Todd Lincoln, 
Aaron Moorhead, 
Marcel Sarmiento, 
Nacho Vigalondo
| 
    Stars:
Patrick Lawrie, 
Emilia Ares, 
Celia K. Milius, 
Steve Berens
",15520,81,0
"Inosensu: Innocence","
Animation, Action, Drama            ",7.5,"
    Director:
Mamoru Oshii
| 
    Stars:
Akio Ôtsuka, 
Atsuko Tanaka, 
Tamio Ôki, 
Kôichi Yamadera
",37017,100,1.04
"Manny & Lo","
Comedy, Drama            ",6.6,"
    Director:
Lisa Krueger
| 
    Stars:
Scarlett Johansson, 
Aleksa Palladino, 
Mary Kay Place, 
Dean Silvers
",1944,88,0.5
"Brotherly Love","
Drama            ",6.7,"
    Director:
Jamal Hill
| 
    Stars:
Keke Palmer, 
Cory Hardrict, 
Romeo Miller, 
Eric D. Hill Jr.
",1787,89,0.44
"Ashby","
Comedy, Crime, Drama            ",6.4,"
    Director:
Tony McNamara
| 
    Stars:
Mickey Rourke, 
Nat Wolff, 
Emma Roberts, 
Sarah Silverman
",15197,100,0
"Results","
Comedy, Romance            ",5.4,"
    Director:
Andrew Bujalski
| 
    Stars:
Guy Pearce, 
Cobie Smulders, 
Kevin Corrigan, 
Giovanni Ribisi
",6774,105,0.1
"This Film Is Not Yet Rated","
Documentary            ",7.5,"
    Director:
Kirby Dick
| 
    Stars:
Kirby Dick, 
Kimberly Peirce, 
Darren Aronofsky, 
Atom Egoyan
",27671,98,0.3
"Mind Game","
Animation, Adventure, Comedy            ",7.8,"
    Directors:
Masaaki Yuasa, 
Kôji Morimoto
| 
    Stars:
Kôji Imada, 
Sayaka Maeda, 
Takashi Fujii, 
Seiko Takuma
",8774,103,0.04
"Hell and Back","
Animation, Adventure, Comedy            ",5.4,"
    Directors:
Tom Gianas, 
Ross Shuman
| 
    Stars:
Nick Swardson, 
Mila Kunis, 
Bob Odenkirk, 
T.J. Miller
",4823,86,0.16
"Born to Be Blue","
Biography, Drama, Music            ",6.9,"
    Director:
Robert Budreau
| 
    Stars:
Ethan Hawke, 
Carmen Ejogo, 
Callum Keith Rennie, 
Tony Nappo
",8304,97,0.83
"Life Itself","
Documentary, Biography            ",7.8,"
    Director:
Steve James
| 
    Stars:
Roger Ebert, 
Chaz Ebert, 
Gene Siskel, 
Martin Scorsese
",15182,121,0.81
"Hai Phuong","
Action, Drama, Thriller            ",6.3,"
    Director:
Le-Van Kiet
| 
    Stars:
Veronica Ngo, 
Mai Cát Vi, 
Thanh Nhien Phan, 
Pham Anh Khoa
",4265,98,0.59
"Our Man Flint","
Action, Adventure, Comedy            ",6.5,"
    Director:
Daniel Mann
| 
    Stars:
James Coburn, 
Lee J. Cobb, 
Gila Golan, 
Edward Mulhare
",6205,108,16
"Hagane no renkinjutsushi: Mirosu no seinaru hoshi","
Animation, Action, Adventure            ",7,"
    Director:
Kazuya Murata
| 
    Stars:
Vic Mignogna, 
Maxey Whitehead, 
Alexis Tipton, 
Matthew Mercer
",4653,110,0.18
"Won't Back Down","
Drama            ",6.5,"
    Director:
Daniel Barnz
| 
    Stars:
Viola Davis, 
Maggie Gyllenhaal, 
Holly Hunter, 
Oscar Isaac
",6317,121,5.31
"Mob Psycho 100","
Sci-Fi, Thriller            ",5.1,"
            
    Stars:
Ayumu Mochizuki, 
Tatsuomi Hamada, 
Atsushi Arai, 
Masayuki Deai
",462,24,0.12
"Jinn","
Fantasy, Horror, Thriller            ",4.2,"
    Director:
Ajmal Zaheer Ahmad
| 
    Stars:
Dominic Rains, 
Ray Park, 
William Atherton, 
Faran Tahir
",4638,97,0.15
"Nocturama","
Drama, Thriller            ",6.4,"
    Director:
Bertrand Bonello
| 
    Stars:
Finnegan Oldfield, 
Vincent Rottiers, 
Hamza Meziani, 
Manal Issa
",4659,130,0.03
"Seoul Searching","
Comedy, Drama, Music            ",7,"
    Director:
Benson Lee
| 
    Stars:
Justin Chon, 
Jessika Van, 
In-Pyo Cha, 
Teo Yoo
",1537,105,0.02
"Middle of Nowhere","
Drama            ",6.4,"
    Director:
Ava DuVernay
| 
    Stars:
Emayatzy Corinealdi, 
David Oyelowo, 
Lorraine Toussaint, 
Edwina Findley
",1713,97,0.08
"17 filles","
Drama            ",6,"
    Directors:
Delphine Coulin, 
Muriel Coulin
| 
    Stars:
Louise Grinberg, 
Juliette Darche, 
Roxane Duran, 
Esther Garrel
",3140,86,0.02
"Adult Beginners","
Action, Comedy, Drama            ",5.6,"
    Director:
Ross Katz
| 
    Stars:
Nick Kroll, 
Rose Byrne, 
Bobby Cannavale, 
Joel McHale
",8169,92,0.1
"Finding Bliss","
Comedy, Romance            ",5.3,"
    Director:
Julie Davis
| 
    Stars:
Leelee Sobieski, 
Matthew Davis, 
Jamie Kennedy, 
Denise Richards
",2442,96,0.01
"The King and I","
Animation, Family, Fantasy            ",4.5,"
    Director:
Richard Rich
| 
    Stars:
Miranda Richardson, 
Martin Vidnovic, 
Christiane Noll, 
Ian Richardson
",3922,87,11.96
"All the Queen's Men","
Action, Comedy, Drama            ",4.9,"
    Director:
Stefan Ruzowitzky
| 
    Stars:
Eddie Izzard, 
Matt LeBlanc, 
Udo Kier, 
James Cosmo
",2590,99,0.02
"Any Day Now","
Drama            ",7.5,"
    Director:
Travis Fine
| 
    Stars:
Alan Cumming, 
Garret Dillahunt, 
Isaac Leyva, 
Frances Fisher
",6037,98,0.2
"Pyaar Ka Punchnama 2","
Comedy, Drama, Romance            ",7.2,"
    Director:
Luv Ranjan
| 
    Stars:
Kartik Aaryan, 
Omkar Kapoor, 
Sunny Singh Nijjar, 
Nushrat Bharucha
",14399,137,0.22
"Oorlogswinter","
Drama, History, War            ",7,"
    Director:
Martin Koolhoven
| 
    Stars:
Martijn Lakemeier, 
Jamie Campbell Bower, 
Yorick van Wageningen, 
Raymond Thiry
",12479,103,0.54
"The Last of Robin Hood","
Biography, Drama, Romance            ",5.7,"
    Directors:
Richard Glatzer, 
Wash Westmoreland
| 
    Stars:
John Hudson Messerall, 
Brian Bascle, 
Daniel J. Clancy, 
Kelly O'Neal
",2131,94,0.27
"Yoake tsugeru Rû no uta","
Animation, Adventure, Comedy            ",6.8,"
    Director:
Masaaki Yuasa
| 
    Stars:
Kanon Tani, 
Shôta Shimoda, 
Minako Kotobuki, 
Sôma Saitô
",1991,112,0.11
"Fed Up","
Documentary            ",7.7,"
    Director:
Stephanie Soechtig
| 
    Stars:
Michele Simon, 
Katie Couric, 
Bill Clinton, 
Michael Bloomberg
",11714,92,1.54
"Whitney","
Documentary, Biography, Drama            ",7.3,"
    Director:
Kevin Macdonald
| 
    Stars:
Whitney Houston, 
Ellen White, 
Michael Houston, 
Cissy Houston
",7004,120,3.03
"Under solen","
Drama, Romance            ",6.7,"
    Director:
Colin Nutley
| 
    Stars:
Rolf Lassgård, 
Helena Bergström, 
Johan Widerberg, 
Gunilla Röör
",2510,130,0.29
"Damsels in Distress","
Comedy, Drama, Romance            ",5.7,"
    Director:
Whit Stillman
| 
    Stars:
Greta Gerwig, 
Adam Brody, 
Lio Tipton, 
Megalyn Echikunwoke
",9343,99,1.01
"Tomorrow Is Forever","
Drama, Romance, War            ",7.4,"
    Director:
Irving Pichel
| 
    Stars:
Claudette Colbert, 
Orson Welles, 
George Brent, 
Lucile Watson
",2456,104,3.25
"Gap tung kei hap","
Action, Comedy, History            ",4.8,"
    Director:
Wing-Cheong Law
| 
    Stars:
Donnie Yen, 
Baoqiang Wang, 
Shengyi Huang, 
Kang Yu
",3436,104,0.01
"Muscle Shoals","
Documentary, Biography, History            ",7.8,"
    Director:
Greg 'Freddy' Camalier
| 
    Stars:
Rick Hall, 
Aretha Franklin, 
Keith Richards, 
Candi Staton
",3695,111,0.7
"The Carer","
Comedy, Drama            ",6.6,"
    Director:
János Edelényi
| 
    Stars:
Maitland Chandler, 
Ruth Posner, 
Coco König, 
Selina Cadell
",1321,89,0.01
"I'm Reed Fish","
Comedy, Drama, Romance            ",5.7,"
    Director:
Zackary Adler
| 
    Stars:
Jay Baruchel, 
Alexis Bledel, 
Victor Rasuk, 
Schuyler Fisk
",4283,93,0
"The Hunting Ground","
Documentary            ",7.4,"
    Director:
Kirby Dick
| 
    Stars:
Andrea Pino, 
Annie Clark, 
Claire Potter, 
Melinda Manning
",6072,103,0.41
"Somm","
Documentary            ",7.1,"
    Director:
Jason Wise
| 
    Stars:
Bo Barrett, 
Shayn Bjornholm, 
Dave Cauble, 
Ian Cauble
",4536,94,0.17
"Howl","
Biography, Drama, Romance            ",6.7,"
    Directors:
Rob Epstein, 
Jeffrey Friedman
| 
    Stars:
James Franco, 
Todd Rotondi, 
Jon Prescott, 
Aaron Tveit
",12757,84,0.62
"Kevin Hart: What Now?","
Documentary, Comedy            ",5.9,"
    Directors:
Leslie Small, 
Tim Story
| 
    Stars:
Kevin Hart, 
Don Cheadle, 
Halle Berry, 
Ed Helms
",9154,96,23.59
"Aala Kaf Ifrit","
Crime, Drama, Thriller            ",7,"
    Director:
Kaouther Ben Hania
| 
    Stars:
Mariam Al Ferjani, 
Ghanem Zrelli, 
Noomen Hamda, 
Mohamed Akkari
",1912,100,0.01
"Interior. Leather Bar.","
Drama            ",5.1,"
    Directors:
James Franco, 
Travis Mathews
| 
    Stars:
Val Lauren, 
Christian Patrick, 
James Franco, 
Travis Mathews
",2472,60,0.04
"The Puffy Chair","
Comedy, Drama, Romance            ",6.5,"
    Directors:
Jay Duplass, 
Mark Duplass
| 
    Stars:
Mark Duplass, 
Katie Aselton, 
Rhett Wilkins, 
Julie Fischer
",4978,85,0.19
"Jonah: A VeggieTales Movie","
Animation, Adventure, Comedy            ",6.5,"
    Directors:
Mike Nawrocki, 
Phil Vischer
| 
    Stars:
Phil Vischer, 
Mike Nawrocki, 
Tim Hodge, 
Lisa Vischer
",4038,82,25.58
"Be Here Now","
Documentary, Biography, Drama            ",8.6,"
    Director:
Lilibet Foster
| 
    Stars:
Jai Courtney, 
Andy Whitfield, 
Indigo Whitfield, 
Jesse Whitfield
",3288,100,0.02
"Wilbur Wants to Kill Himself","
Comedy, Drama, Romance            ",6.8,"
    Director:
Lone Scherfig
| 
    Stars:
Jamie Sives, 
Adrian Rawlins, 
Shirley Henderson, 
Lisa McKinlay
",7724,111,0.23
"The Trial","
Crime, Drama, Mystery            ",5.6,"
    Director:
Gary Wheeler
| 
    Stars:
Larry Bagby, 
Clare Carey, 
Nikki Deloach, 
David Dwyer
",1462,101,0.02
"Grandmaster","
Action, Thriller            ",7,"
    Director:
B. Unnikrishnan
| 
    Stars:
Mohanlal, 
Priyamani, 
Babu Antony, 
Arjun Nandakumar
",2034,100,0.02
"The Devil and Father Amorth","
Documentary, Horror            ",4.6,"
    Director:
William Friedkin
| 
    Stars:
William Friedkin, 
Jeffrey Burton Russell, 
Christina, 
Gabriele Amorth
",2202,68,0.02
"Requiem for the American Dream","
Documentary, Biography, News            ",8.1,"
    Directors:
Peter D. Hutchison, 
Kelly Nyks, 
Jared P. Scott
| 
    Stars:
Noam Chomsky, 
Alan Greenspan, 
Malcolm X, 
Richard Nixon
",9193,73,0.13
"Particle Fever","
Documentary            ",7.4,"
    Director:
Mark Levinson
| 
    Stars:
David Kaplan, 
Fabiola Gianotti, 
Sherwood Boehlert, 
Joel Hefley
",7271,99,0.87
"Money","
Crime, Mystery, Thriller            ",5.5,"
    Director:
Martín Rosete
| 
    Stars:
Jesse Williams, 
Kellan Lutz, 
Jamie Bamber, 
Jess Weixler
",2806,86,1.02
"Sufat Chol","
Drama            ",6.8,"
    Director:
Elite Zexer
| 
    Stars:
Lamis Ammar, 
Ruba Blal, 
Hitham Omari, 
Khadija Al Akel
",3310,87,0.08
"Chiisana eiyû: Kani to tamago to tômei ningen","
Animation, Adventure, Family            ",6.6,"
    Directors:
Yoshiyuki Momose, 
Akihiko Yamashita, 
Hiromasa Yonebayashi
| 
    Stars:
Alex Cazares, 
Jessica DiCicco, 
Scarlett Estevez, 
Todd Haberkorn
",2308,53,0.18
"Undefeated","
Documentary, Sport            ",7.7,"
    Directors:
Daniel Lindsay, 
T.J. Martin
| 
    Stars:
Bill Courtney, 
O.C. Brown, 
Montrail 'Money' Brown, 
Chavis Daniels
",6897,113,0.56
"Papa Hemingway in Cuba","
Biography, Drama            ",6.3,"
    Director:
Bob Yari
| 
    Stars:
Giovanni Ribisi, 
Joely Richardson, 
Adrian Sparks, 
Minka Kelly
",1450,110,1.12
"Ethan Frome","
Drama, Romance            ",6.2,"
    Director:
John Madden
| 
    Stars:
Liam Neeson, 
Patricia Arquette, 
Gil Rood, 
Tate Donovan
",2056,99,0.3
